item_id,categoria,nombre_de_producto,precio_de_producto,descuento,url_producto 
714580PH,Parkas Hombre,Biker Opposite,$12.990,$17.000,https://www.paris.cl/biker-opposite-714580.html?dwvar_714580_color=0301&cgid=mujJuvChaquetasParkas
532791PH,Parkas Hombre,Calza Algodon Adidas ,$17.490,$7.500,https://www.paris.cl/calza-algodon-adidas%C2%A0-532791.html?dwvar_532791_color=0001&cgid=mujJuvChaquetasParkas
532779PH,Parkas Hombre,Calza Tiro Medio Adidas ,$17.490,$7.500,https://www.paris.cl/calza-tiro-medio-adidas%C2%A0-532779.html?dwvar_532779_color=0500&cgid=mujJuvChaquetasParkas
487781PH,Parkas Hombre,Casaca Bolsillos Mujer Gorro Chiporro Maui,$35.990,$24.000,https://www.paris.cl/casaca-bolsillos-mujer-gorro-chiporro-maui-487781.html?dwvar_487781_color=0200&cgid=mujJuvChaquetasParkas
532794PH,Parkas Hombre,Pantalon Bandas Adidas ,$20.990,$9.000,https://www.paris.cl/pantalon-bandas-adidas%C2%A0-532794.html?dwvar_532794_color=0650&cgid=mujJuvChaquetasParkas
414355PH,Parkas Hombre,Blazer Reptil Foster,$19.990,$40.000,https://www.paris.cl/blazer-reptil-foster-414355.html?dwvar_414355_color=0001&cgid=mujJuvChaquetasParkas
525166PH,Parkas Hombre,Chaqueta Denim American Eagle,$25.000,$24.990,https://www.paris.cl/chaqueta-denim-american-eagle-525166.html?dwvar_525166_color=0460&cgid=mujJuvChaquetasParkas
479434PH,Parkas Hombre,Biker Trucker Cargo Opposite,$24.990,$15.000,https://www.paris.cl/biker-trucker-cargo-opposite-479434.html?dwvar_479434_color=0210&cgid=mujJuvChaquetasParkas
474416PH,Parkas Hombre,Chaqueta Denim Opposite,$19.990,$5.000,https://www.paris.cl/chaqueta-denim-opposite-474416.html?dwvar_474416_color=0010&cgid=mujJuvChaquetasParkas
474599PH,Parkas Hombre,Casaca Cotele Aussie,$39.990,$0,https://www.paris.cl/casaca-cotele-aussie-474599.html?dwvar_474599_color=0001&cgid=mujJuvChaquetasParkas
545627PH,Parkas Hombre,Blazer Aplicacion Hombros iO,$24.990,$25.000,https://www.paris.cl/blazer-aplicacion-hombros-io-545627.html?dwvar_545627_color=0020&cgid=mujJuvChaquetasParkas
590267PH,Parkas Hombre,Parka Sin Manga Entrada Merrell,$74.990,$0,https://www.paris.cl/parka-sin-manga-entrada-merrell-590267.html?dwvar_590267_color=0101&cgid=mujJuvChaquetasParkas
