nombre_de_producto,precio_de_producto,url_producto 
Boxer Estampado Full Opposite,$3.990,https://www.paris.cl/boxer-estampado-full-opposite-251006.html?dwvar_251006_color=0960&cgid=homIntBoxers
Boxer Estampad Animación Opposite,$3.990,https://www.paris.cl/boxer-estampad-animacion-opposite-251008.html?dwvar_251008_color=0960&cgid=homIntBoxers
Pack 2 Boxer Microfibra Palmers,$5.990,https://www.paris.cl/pack-2-boxer-microfibra-palmers-143148.html?dwvar_143148_color=0999&cgid=homIntBoxers
Pack 2 Boxer Multicolor Palmers,$5.990,https://www.paris.cl/pack-2-boxer-multicolor-palmers-436229.html?dwvar_436229_color=9997&cgid=homIntBoxers
Pack 2 Boxer Diseños Palmers,$5.990,https://www.paris.cl/pack-2-boxer-disenos-palmers-436228.html?dwvar_436228_color=9997&cgid=homIntBoxers
Pack 2 Boxer Color Palmers,$5.990,https://www.paris.cl/pack-2-boxer-color-palmers-555404.html?dwvar_555404_color=9997&cgid=homIntBoxers
Pack 4 Slip Liso Palmers,$11.990,https://www.paris.cl/pack-4-slip-liso-palmers-804380.html?dwvar_804380_color=0001&cgid=homIntBoxers
Pack 2 Boxer Corto Print Gangsta,$10.990,https://www.paris.cl/pack-2-boxer-corto-print-gangsta-262849.html?dwvar_262849_color=0020&cgid=homIntBoxers
Boxer Liso Corto Calvin Klein,$29.990,https://www.paris.cl/boxer-liso-corto-calvin-klein-205678.html?dwvar_205678_color=0001&cgid=homIntBoxers
Boxer Colores Palmers,$6.990,https://www.paris.cl/boxer-colores-palmers-552800.html?dwvar_552800_color=0301&cgid=homIntBoxers
Boxer Modern Calvin Klein,$29.990,https://www.paris.cl/boxer-modern-calvin-klein-205579.html?dwvar_205579_color=0001&cgid=homIntBoxers
Slip Evolution Calvin Kelin,$19.990,https://www.paris.cl/slip-evolution-calvin-kelin-205827.html?dwvar_205827_color=0001&cgid=homIntBoxers
Boxer Corto Calvin Klein,$29.990,https://www.paris.cl/boxer-corto-calvin-klein-205549.html?dwvar_205549_color=0001&cgid=homIntBoxers
Slip Pack 3 Pares Liso Palmers,$7.990,https://www.paris.cl/slip-pack-3-pares-liso-palmers-710501.html?dwvar_710501_color=0050&cgid=homIntBoxers
Slip Algodón Clásico Palmers,$9.990,https://www.paris.cl/slip-algodon-clasico-palmers-804375.html?dwvar_804375_color=0001&cgid=homIntBoxers
Pack 2 Boxer Colorido Palmers,$12.990,https://www.paris.cl/pack-2-boxer-colorido-palmers-804398.html?dwvar_804398_color=0700&cgid=homIntBoxers
Pack 2 Boxer Full Print Gangsta,$9.990,https://www.paris.cl/pack-2-boxer-full-print-gangsta-457440.html?dwvar_457440_color=0100&cgid=homIntBoxers
Boxer Pack 5 Pares Liso Palmers,$16.990,https://www.paris.cl/boxer-pack-5-pares-liso-palmers-804384.html?dwvar_804384_color=0100&cgid=homIntBoxers
Boxer Liso Palmers,$16.990,https://www.paris.cl/boxer-liso-palmers-804383.html?dwvar_804383_color=0999&cgid=homIntBoxers
Boxer Calce Largo Colors Palmers,$2.990,https://www.paris.cl/boxer-calce-largo-colors-palmers-877346.html?dwvar_877346_color=0800&cgid=homIntBoxers
Boxer Largo Cobre Palmers,$9.990,https://www.paris.cl/boxer-largo-cobre-palmers-804396.html?dwvar_804396_color=0999&cgid=homIntBoxers
Boxer Largo Bamboo Special Palmers,$12.990,https://www.paris.cl/boxer-largo-bamboo-special-palmers-804391.html?dwvar_804391_color=0601&cgid=homIntBoxers
Boxer Color Plamers,$11.990,https://www.paris.cl/boxer-color-plamers-804379.html?dwvar_804379_color=0600&cgid=homIntBoxers
Boxer Print Palmers,$11.990,https://www.paris.cl/boxer-print-palmers-804378.html?dwvar_804378_color=0999&cgid=homIntBoxers
