nombre_de_producto,precio_de_producto,url_producto 
Jeans Skinny Knit Denim Cierre Denim JJO,$17.990,https://www.paris.cl/jeans-skinny-knit-denim-cierre-denim-jjo-229705.html?dwvar_229705_color=0001&cgid=homJuvJeans
Jeans Franjas lateral JJO,$17.990,https://www.paris.cl/jeans-franjas-lateral-jjo-368463.html?dwvar_368463_color=0420&cgid=homJuvJeans
Jeans Skinny Crop Basta Descosida Denim JJO,$9.990,https://www.paris.cl/jeans-skinny-crop-basta-descosida-denim-jjo-229688.html?dwvar_229688_color=0001&cgid=homJuvJeans
Jeans Roturas Celeste JJO,$17.990,https://www.paris.cl/jeans-roturas-celeste-jjo-368448.html?dwvar_368448_color=0450&cgid=homJuvJeans
Jeans Skinny Vivos Denim Alexis JJO,$17.990,https://www.paris.cl/jeans-skinny-vivos-denim-alexis-jjo-242202.html?dwvar_242202_color=0401&cgid=homJuvJeans
Jeans Skinny Foster,$11.990,https://www.paris.cl/jeans-skinny-foster-248515.html?dwvar_248515_color=0420&cgid=homJuvJeans
Jeans Super Skinny Destroyer Denim Alexis JJO,$17.990,https://www.paris.cl/jeans-super-skinny-destroyer-denim-alexis-jjo-242233.html?dwvar_242233_color=0401&cgid=homJuvJeans
Jeans Skinny Roturas Foster,$17.990,https://www.paris.cl/jeans-skinny-roturas-foster-414608.html?dwvar_414608_color=0420&cgid=homJuvJeans
Jeans Skinny Roturas Negro Foster,$17.990,https://www.paris.cl/jeans-skinny-roturas-negro-foster-414440.html?dwvar_414440_color=0001&cgid=homJuvJeans
Jeans Skinny Roturas Foster,$10.990,https://www.paris.cl/jeans-skinny-roturas-foster-248509.html?dwvar_248509_color=0450&cgid=homJuvJeans
Jeans Skinny Roturas Rodilla Foster,$17.990,https://www.paris.cl/jeans-skinny-roturas-rodilla-foster-414600.html?dwvar_414600_color=0001&cgid=homJuvJeans
Jeans Focalizado Azul Foster,$17.990,https://www.paris.cl/jeans-focalizado-azul-foster-414611.html?dwvar_414611_color=0420&cgid=homJuvJeans
Jeans Skinny Roturas Azul Foster,$17.990,https://www.paris.cl/jeans-skinny-roturas-azul-foster-284669.html?dwvar_284669_color=0420&cgid=homJuvJeans
Jeans Skinny Cierres Denim Alexis JJO,$17.990,https://www.paris.cl/jeans-skinny-cierres-denim-alexis-jjo-242193.html?dwvar_242193_color=0420&cgid=homJuvJeans
Jeans Skinny Foster,$17.990,https://www.paris.cl/jeans-skinny-foster-414459.html?dwvar_414459_color=0401&cgid=homJuvJeans
Jeans Skinny Color Foster,$17.990,https://www.paris.cl/jeans-skinny-color-foster-248511.html?dwvar_248511_color=0420&cgid=homJuvJeans
Jeans Skinny American Eagle,$9.990,https://www.paris.cl/jeans-skinny-american-eagle-826668.html?dwvar_826668_color=0054&cgid=homJuvJeans
Jeans Negro Tapered JJO,$17.990,https://www.paris.cl/jeans-negro-tapered-jjo-242196.html?dwvar_242196_color=0001&cgid=homJuvJeans
Jeans SuperSkinny Azul Oscuro Foster,$17.990,https://www.paris.cl/jeans-superskinny-azul-oscuro-foster-414446.html?dwvar_414446_color=0401&cgid=homJuvJeans
Jeans Básico Alaniz,$14.990,https://www.paris.cl/jeans-basico-alaniz-185523.html?dwvar_185523_color=0050&cgid=homJuvJeans
Jeans Liso JJO,$17.990,https://www.paris.cl/jeans-liso-jjo-368439.html?dwvar_368439_color=0001&cgid=homJuvJeans
Jeans Urban Opposite,$9.990,https://www.paris.cl/jeans-urban-opposite-211832.html?dwvar_211832_color=0001&cgid=homJuvJeans
Jeans Básico JJO,$17.990,https://www.paris.cl/jeans-basico-jjo-368480.html?dwvar_368480_color=0401&cgid=homJuvJeans
Jeans Urbano Art Zoo York,$14.990,https://www.paris.cl/jeans-urbano-art-zoo-york-488469.html?dwvar_488469_color=0001&cgid=homJuvJeans
Jeans Negro JJO,$17.990,https://www.paris.cl/jeans-negro-jjo-368472.html?dwvar_368472_color=0001&cgid=homJuvJeans
