nombre_de_producto,precio_de_producto,url_producto 
Chaqueta Biker Black JJO,$49.990,https://www.paris.cl/chaqueta-biker-black-jjo-441983.html?dwvar_441983_color=0001&cgid=homJuvChaquetasParkas
Parka Franjas Capucha Aussie,$14.990,https://www.paris.cl/parka-franjas-capucha-aussie-250963.html?dwvar_250963_color=0001&cgid=homJuvChaquetasParkas
Parka Franjas Sport O'Neill,$29.990,https://www.paris.cl/parka-franjas-sport-oneill-440714.html?dwvar_440714_color=0001&cgid=homJuvChaquetasParkas
Chaqueta Motoquera Foster,$34.990,https://www.paris.cl/chaqueta-motoquera-foster-414403.html?dwvar_414403_color=0001&cgid=homJuvChaquetasParkas
Parka Clásica O'Neill,$29.990,https://www.paris.cl/parka-clasica-oneill-440702.html?dwvar_440702_color=0001&cgid=homJuvChaquetasParkas
Chaqueta Cuello Alto Oakley,$53.990,https://www.paris.cl/chaqueta-cuello-alto-oakley-395425.html?dwvar_395425_color=0001&cgid=homJuvChaquetasParkas
Parka Franjas O'Neill,$29.990,https://www.paris.cl/parka-franjas-oneill-440676.html?dwvar_440676_color=0001&cgid=homJuvChaquetasParkas
Parka Entrada Azul Merrell,$114.990,https://www.paris.cl/parka-entrada-azul-merrell-590203.html?dwvar_590203_color=0420&cgid=homJuvChaquetasParkas
Chaqueta Pow Hayden O'coat Topman,$59.990,https://www.paris.cl/chaqueta-pow-hayden-ocoat-topman-574672.html?dwvar_574672_color=9999&cgid=homJuvChaquetasParkas
Parka Cuello Alto Oakley,$79.990,https://www.paris.cl/parka-cuello-alto-oakley-404856.html?dwvar_404856_color=0001&cgid=homJuvChaquetasParkas
Parka Camuflaje Oakley,$47.990,https://www.paris.cl/parka-camuflaje-oakley-395438.html?dwvar_395438_color=0340&cgid=homJuvChaquetasParkas
Parka Lisa O'Neill,$29.990,https://www.paris.cl/parka-lisa-oneill-440729.html?dwvar_440729_color=0001&cgid=homJuvChaquetasParkas
Chaqueta Birch Fur Topman,$49.990,https://www.paris.cl/chaqueta-birch-fur-topman-534838.html?dwvar_534838_color=9999&cgid=homJuvChaquetasParkas
Chaqueta Faux Topman,$44.990,https://www.paris.cl/chaqueta-faux-topman-534829.html?dwvar_534829_color=9999&cgid=homJuvChaquetasParkas
Chaqueta Lisa Opposite,$19.990,https://www.paris.cl/chaqueta-lisa-opposite-379857.html?dwvar_379857_color=0301&cgid=homJuvChaquetasParkas
Parka Bicolor Franjas Oakley,$47.990,https://www.paris.cl/parka-bicolor-franjas-oakley-395426.html?dwvar_395426_color=0200&cgid=homJuvChaquetasParkas
