item_id,categoria,nombre_de_producto,precio_de_producto,url_producto 
545591,Parkas Mujer,Chaqueta Tachas iO,$29.990,https://www.paris.cl/chaqueta-tachas-io-545591.html?dwvar_545591_color=0001&cgid=mujJuvChaquetasParkas
487781,Parkas Mujer,Casaca Bolsillos Mujer Gorro Chiporro Maui,$35.980,https://www.paris.cl/casaca-bolsillos-mujer-gorro-chiporro-maui-487781.html?dwvar_487781_color=0200&cgid=mujJuvChaquetasParkas
550077,Parkas Mujer,Chaqueta Oversized Denim Topshop,$54.990,https://www.paris.cl/chaqueta-oversized-denim-topshop-550077.html?dwvar_550077_color=9999&cgid=mujJuvChaquetasParkas
545627,Parkas Mujer,Blazer Aplicacion Hombros iO,$24.990,https://www.paris.cl/blazer-aplicacion-hombros-io-545627.html?dwvar_545627_color=0001&cgid=mujJuvChaquetasParkas
525166,Parkas Mujer,Chaqueta Denim American Eagle,$25.000,https://www.paris.cl/chaqueta-denim-american-eagle-525166.html?dwvar_525166_color=0460&cgid=mujJuvChaquetasParkas
487783,Parkas Mujer,Casaca Mujer Diseño Cierre Cruzado Maui,$32.980,https://www.paris.cl/casaca-mujer-diseno-cierre-cruzado-maui-487783.html?dwvar_487783_color=0020&cgid=mujJuvChaquetasParkas
435156,Parkas Mujer,Chaqueta Trucker American Eagle,$25.000,https://www.paris.cl/chaqueta-trucker-american-eagle-435156.html?dwvar_435156_color=0211&cgid=mujJuvChaquetasParkas
598038,Parkas Mujer,Abrigo Tailored Check Topshop,$43.990,https://www.paris.cl/abrigo-tailored-check-topshop-598038.html?dwvar_598038_color=9999&cgid=mujJuvChaquetasParkas
590255,Parkas Mujer,Parka Entrada Merrell,$94.990,https://www.paris.cl/parka-entrada-merrell-590255.html?dwvar_590255_color=0610&cgid=mujJuvChaquetasParkas
590260,Parkas Mujer,Parka Entrada Merrell,$74.990,https://www.paris.cl/parka-entrada-merrell-590260.html?dwvar_590260_color=0610&cgid=mujJuvChaquetasParkas
590264,Parkas Mujer,Parka Sin Manga Entrada Negro Merrell,$74.990,https://www.paris.cl/parka-sin-manga-entrada-negro-merrell-590264.html?dwvar_590264_color=0001&cgid=mujJuvChaquetasParkas
590267,Parkas Mujer,Parka Sin Manga Entrada Merrell,$74.990,https://www.paris.cl/parka-sin-manga-entrada-merrell-590267.html?dwvar_590267_color=0101&cgid=mujJuvChaquetasParkas
590313,Parkas Mujer,Parka Classic Poly Negro Mate Cartepillar,$49.990,https://www.paris.cl/parka-classic-poly-negro-mate-cartepillar-590313.html?dwvar_590313_color=0002&cgid=mujJuvChaquetasParkas
590312,Parkas Mujer,Parka Classic Poly Cartepillar,$49.990,https://www.paris.cl/parka-classic-poly-cartepillar-590312.html?dwvar_590312_color=0101&cgid=mujJuvChaquetasParkas
566807,Parkas Mujer,Abrigo Cropped Faux Fur Topshop,$31.990,https://www.paris.cl/abrigo-cropped-faux-fur-topshop-566807.html?dwvar_566807_color=9999&cgid=mujJuvChaquetasParkas
282875,Parkas Mujer,Biker Suede Opposite,$29.990,https://www.paris.cl/biker-suede-opposite-282875.html?dwvar_282875_color=0001&cgid=mujJuvChaquetasParkas
